Employee,Salary Structure,Company,From Date,Base
MC-0001,RUB Monthly (Base),My Company,01-01-2025,550000
MC-0002,RUB Monthly (Base),My Company,01-01-2025,500000
MC-0003,RUB Monthly (Base),My Company,01-01-2025,450000
MC-0004,RUB Monthly (Base),My Company,01-01-2025,420000
MC-0005,RUB Monthly (Base),My Company,01-01-2025,400000
MC-0006,RUB Monthly (Base),My Company,01-01-2025,320000
MC-0007,RUB Monthly (Base),My Company,01-01-2025,200000
MC-0008,RUB Monthly (Base),My Company,01-01-2025,180000
MC-0009,RUB Monthly (Base),My Company,01-01-2025,160000
MC-0010,RUB Monthly (Base),My Company,01-01-2025,170000
MC-0011,RUB Monthly (Base),My Company,01-01-2025,360000
MC-0012,RUB Monthly (Base),My Company,01-01-2025,360000
MC-0013,RUB Monthly (Base),My Company,01-01-2025,280000
MC-0014,RUB Monthly (Base),My Company,01-01-2025,300000
MC-0015,RUB Monthly (Base),My Company,01-01-2025,310000
MC-0016,RUB Monthly (Base),My Company,01-01-2025,300000
MC-0017,RUB Monthly (Base),My Company,01-01-2025,210000
MC-0018,RUB Monthly (Base),My Company,01-01-2025,220000
MC-0019,RUB Monthly (Base),My Company,01-01-2025,220000
MC-0020,RUB Monthly (Base),My Company,01-01-2025,210000
MC-0021,RUB Monthly (Base),My Company,01-01-2025,140000
MC-0022,RUB Monthly (Base),My Company,01-01-2025,130000
MC-0023,RUB Monthly (Base),My Company,01-01-2025,125000
MC-0024,RUB Monthly (Base),My Company,01-01-2025,340000
MC-0025,RUB Monthly (Base),My Company,01-01-2025,260000
MC-0026,RUB Monthly (Base),My Company,01-01-2025,270000
MC-0027,RUB Monthly (Base),My Company,01-01-2025,275000
MC-0028,RUB Monthly (Base),My Company,01-01-2025,200000
MC-0029,RUB Monthly (Base),My Company,01-01-2025,190000
MC-0030,RUB Monthly (Base),My Company,01-01-2025,190000
MC-0031,RUB Monthly (Base),My Company,01-01-2025,185000
MC-0032,RUB Monthly (Base),My Company,01-01-2025,120000
MC-0033,RUB Monthly (Base),My Company,01-01-2025,115000
MC-0034,RUB Monthly (Base),My Company,01-01-2025,270000
MC-0035,RUB Monthly (Base),My Company,01-01-2025,280000
MC-0036,RUB Monthly (Base),My Company,01-01-2025,210000
MC-0037,RUB Monthly (Base),My Company,01-01-2025,205000
MC-0038,RUB Monthly (Base),My Company,01-01-2025,215000
MC-0039,RUB Monthly (Base),My Company,01-01-2025,140000
MC-0040,RUB Monthly (Base),My Company,01-01-2025,360000
MC-0041,RUB Monthly (Base),My Company,01-01-2025,300000
MC-0042,RUB Monthly (Base),My Company,01-01-2025,230000
MC-0043,RUB Monthly (Base),My Company,01-01-2025,240000
MC-0044,RUB Monthly (Base),My Company,01-01-2025,160000
MC-0045,RUB Monthly (Base),My Company,01-01-2025,360000
MC-0046,RUB Monthly (Base),My Company,01-01-2025,240000
MC-0047,RUB Monthly (Base),My Company,01-01-2025,190000
MC-0048,RUB Monthly (Base),My Company,01-01-2025,160000
MC-0049,RUB Monthly (Base),My Company,01-01-2025,155000
MC-0050,RUB Monthly (Base),My Company,01-01-2025,120000
MC-0051,RUB Monthly (Base),My Company,01-01-2025,240000
MC-0052,RUB Monthly (Base),My Company,01-01-2025,200000
MC-0053,RUB Monthly (Base),My Company,01-01-2025,195000
MC-0054,RUB Monthly (Base),My Company,01-01-2025,210000
MC-0055,RUB Monthly (Base),My Company,01-01-2025,260000
MC-0056,RUB Monthly (Base),My Company,01-01-2025,240000
MC-0057,RUB Monthly (Base),My Company,01-01-2025,270000
MC-0058,RUB Monthly (Base),My Company,01-01-2025,170000
MC-0059,RUB Monthly (Base),My Company,01-01-2025,250000
MC-0060,RUB Monthly (Base),My Company,01-01-2025,200000
MC-0061,RUB Monthly (Base),My Company,01-01-2025,160000
MC-0062,RUB Monthly (Base),My Company,01-01-2025,170000
MC-0063,RUB Monthly (Base),My Company,01-01-2025,220000
MC-0064,RUB Monthly (Base),My Company,01-01-2025,230000
MC-0065,RUB Monthly (Base),My Company,01-01-2025,280000
MC-0066,RUB Monthly (Base),My Company,01-01-2025,230000
MC-0067,RUB Monthly (Base),My Company,01-01-2025,260000
MC-0068,RUB Monthly (Base),My Company,01-01-2025,270000
MC-0069,RUB Monthly (Base),My Company,01-01-2025,320000
MC-0070,RUB Monthly (Base),My Company,01-01-2025,220000
MC-0071,RUB Monthly (Base),My Company,01-01-2025,140000
MC-0072,RUB Monthly (Base),My Company,01-01-2025,230000
MC-0073,RUB Monthly (Base),My Company,01-01-2025,180000
MC-0074,RUB Monthly (Base),My Company,01-01-2025,120000
MC-0075,RUB Monthly (Base),My Company,01-01-2025,120000
MC-0076,RUB Monthly (Base),My Company,01-01-2025,125000
MC-0077,RUB Monthly (Base),My Company,01-01-2025,180000
MC-0078,RUB Monthly (Base),My Company,01-01-2025,240000
MC-0079,RUB Monthly (Base),My Company,01-01-2025,150000
MC-0080,RUB Monthly (Base),My Company,01-01-2025,170000
